Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
231;20702;"Dalian Ligong Daxue Xuebao/Journal of Dalian University of Technology";journal;"10008608";0,155;Q4;16;92;291;1525;66;291;0,21;16,58;China;"Dalian Ligong Daxue/Dalian University of Technology";"1994-ongoing";"Engineering (miscellaneous) (Q3); Applied Mathematics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
232;21100814522;"Papers in Physics";journal;"18524249";0,155;Q4;1;3;9;103;2;9;0,22;34,33;Argentina;"Instituto de Fisica de Liquidos y Sistemas Biologicos";"2017-ongoing";"Materials Science (miscellaneous) (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
233;4000151707;"Europhysics News";journal;"05317479, 14321092";0,154;Q4;13;18;86;196;27;68;0,50;10,89;France;"EDP Sciences";"2006-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
234;17600155110;"Research Journal of Applied Sciences";journal;"1815932X, 19936079";0,153;Q4;14;0;322;0;166;322;0,46;0,00;Pakistan;"Medwell Online";"2009-2016 (cancelled)";"Engineering (miscellaneous) (Q3); Multidisciplinary (Q3); Chemistry (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
235;21100268424;"Journal of Mathematical and Fundamental Sciences";journal;"23375760";0,151;Q4;8;24;72;556;47;72;0,48;23,17;Indonesia;"Institute for Research and Community Services, Institut Teknologi Bandung";"2013-ongoing";"Earth and Planetary Sciences (miscellaneous) (Q3); Multidisciplinary (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Medicine (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
236;21100788426;"Scientia Sinica: Physica, Mechanica et Astronomica";journal;"20959478, 16747275";0,150;Q4;5;119;287;5506;131;280;0,47;46,27;China;"Chinese Academy of Sciences";"2016-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
237;17800156707;"Chiang Mai Journal of Science";journal;"01252526";0,149;Q4;17;223;407;6173;155;404;0,36;27,68;Thailand;"Chiang Mai University";"2008-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
238;11300153315;"Advanced Studies in Theoretical Physics";journal;"13131311";0,148;Q4;17;0;106;0;41;106;0,24;0,00;Bulgaria;"Hikari Ltd.";"2008-2016 (cancelled)";"Mathematical Physics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
239;9500154102;"Iranian Journal of Science and Technology, Transaction A: Science";journal;"10286276";0,148;Q4;15;267;237;8200;133;236;0,56;30,71;Iran;"Springer International Publishing AG";"2006-ongoing";"Engineering (miscellaneous) (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
240;17700156004;"WSEAS Transactions on Fluid Mechanics";journal;"17905087";0,148;Q4;7;17;33;320;11;33;0,21;18,82;Greece;"World Scientific and Engineering Academy and Society (WSEAS) Press";"2009-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
